"category","date","index","label"
"c2_workplace_closing",2020-01-08,0,"workplace"
"c3_cancel_public_events",2020-01-08,0,"public events"
"c4_restrictions_on_gatherings",2020-01-08,0,"gatherings"
"c5_close_public_transport",2020-01-08,0,"public transport"
"c6_stay_at_home_requirements",2020-01-08,0,"stay-at-home"
"c7_movementrestrictions",2020-01-08,0,"internal movements"
"c8_internationaltravel",2020-01-08,0,"cross-border movements"
"stringency_index",2020-01-09,0,"stringency index"
"c1_school_closing",2020-01-09,0,"schools"
"c2_workplace_closing",2020-01-09,0,"workplace"
"c3_cancel_public_events",2020-01-09,0,"public events"
"c4_restrictions_on_gatherings",2020-01-09,0,"gatherings"
"c5_close_public_transport",2020-01-09,0,"public transport"
"c6_stay_at_home_requirements",2020-01-09,0,"stay-at-home"
"c7_movementrestrictions",2020-01-09,0,"internal movements"
"c8_internationaltravel",2020-01-09,0,"cross-border movements"
"stringency_index",2020-01-10,0,"stringency index"
"c1_school_closing",2020-01-10,0,"schools"
"c2_workplace_closing",2020-01-10,0,"workplace"
"c3_cancel_public_events",2020-01-10,0,"public events"
"c4_restrictions_on_gatherings",2020-01-10,0,"gatherings"
"c5_close_public_transport",2020-01-10,0,"public transport"
"c6_stay_at_home_requirements",2020-01-10,0,"stay-at-home"
"c7_movementrestrictions",2020-01-10,0,"internal movements"
"c8_internationaltravel",2020-01-10,0,"cross-border movements"
"stringency_index",2020-01-11,0,"stringency index"
"c1_school_closing",2020-01-11,0,"schools"
"c2_workplace_closing",2020-01-11,0,"workplace"
"c3_cancel_public_events",2020-01-11,0,"public events"
"c4_restrictions_on_gatherings",2020-01-11,0,"gatherings"
"c5_close_public_transport",2020-01-11,0,"public transport"
"c6_stay_at_home_requirements",2020-01-11,0,"stay-at-home"
"c7_movementrestrictions",2020-01-11,0,"internal movements"
"c8_internationaltravel",2020-01-11,0,"cross-border movements"
"stringency_index",2020-01-12,0,"stringency index"
"c1_school_closing",2020-01-12,0,"schools"
"c2_workplace_closing",2020-01-12,0,"workplace"
"c3_cancel_public_events",2020-01-12,0,"public events"
"c4_restrictions_on_gatherings",2020-01-12,0,"gatherings"
"c5_close_public_transport",2020-01-12,0,"public transport"
"c6_stay_at_home_requirements",2020-01-12,0,"stay-at-home"
"c7_movementrestrictions",2020-01-12,0,"internal movements"
"c8_internationaltravel",2020-01-12,0,"cross-border movements"
"stringency_index",2020-01-13,0,"stringency index"
"c1_school_closing",2020-01-13,0,"schools"
"c2_workplace_closing",2020-01-13,0,"workplace"
"c3_cancel_public_events",2020-01-13,0,"public events"
"c4_restrictions_on_gatherings",2020-01-13,0,"gatherings"
"c5_close_public_transport",2020-01-13,0,"public transport"
"c6_stay_at_home_requirements",2020-01-13,0,"stay-at-home"
"c7_movementrestrictions",2020-01-13,0,"internal movements"
"c8_internationaltravel",2020-01-13,0,"cross-border movements"
"stringency_index",2020-01-14,0,"stringency index"
"c1_school_closing",2020-01-14,0,"schools"
"c2_workplace_closing",2020-01-14,0,"workplace"
"c3_cancel_public_events",2020-01-14,0,"public events"
"c4_restrictions_on_gatherings",2020-01-14,0,"gatherings"
"c5_close_public_transport",2020-01-14,0,"public transport"
"c6_stay_at_home_requirements",2020-01-14,0,"stay-at-home"
"c7_movementrestrictions",2020-01-14,0,"internal movements"
"c8_internationaltravel",2020-01-14,0,"cross-border movements"
"stringency_index",2020-01-15,0,"stringency index"
"c1_school_closing",2020-01-15,0,"schools"
"c2_workplace_closing",2020-01-15,0,"workplace"
"c3_cancel_public_events",2020-01-15,0,"public events"
"c4_restrictions_on_gatherings",2020-01-15,0,"gatherings"
"c5_close_public_transport",2020-01-15,0,"public transport"
"c6_stay_at_home_requirements",2020-01-15,0,"stay-at-home"
"c7_movementrestrictions",2020-01-15,0,"internal movements"
"c8_internationaltravel",2020-01-15,0,"cross-border movements"
"stringency_index",2020-01-16,0,"stringency index"
"c1_school_closing",2020-01-16,0,"schools"
"c2_workplace_closing",2020-01-16,0,"workplace"
"c3_cancel_public_events",2020-01-16,0,"public events"
"c4_restrictions_on_gatherings",2020-01-16,0,"gatherings"
"c5_close_public_transport",2020-01-16,0,"public transport"
"c6_stay_at_home_requirements",2020-01-16,0,"stay-at-home"
"c7_movementrestrictions",2020-01-16,0,"internal movements"
"c8_internationaltravel",2020-01-16,0,"cross-border movements"
"stringency_index",2020-01-17,0,"stringency index"
"c1_school_closing",2020-01-17,0,"schools"
"c2_workplace_closing",2020-01-17,0,"workplace"
"c3_cancel_public_events",2020-01-17,0,"public events"
"c4_restrictions_on_gatherings",2020-01-17,0,"gatherings"
"c5_close_public_transport",2020-01-17,0,"public transport"
"c6_stay_at_home_requirements",2020-01-17,0,"stay-at-home"
"c7_movementrestrictions",2020-01-17,0,"internal movements"
"c8_internationaltravel",2020-01-17,0,"cross-border movements"
"stringency_index",2020-01-18,0,"stringency index"
"c1_school_closing",2020-01-18,0,"schools"
"c2_workplace_closing",2020-01-18,0,"workplace"
"c3_cancel_public_events",2020-01-18,0,"public events"
"c4_restrictions_on_gatherings",2020-01-18,0,"gatherings"
"c5_close_public_transport",2020-01-18,0,"public transport"
"c6_stay_at_home_requirements",2020-01-18,0,"stay-at-home"
"c7_movementrestrictions",2020-01-18,0,"internal movements"
"c8_internationaltravel",2020-01-18,0,"cross-border movements"
"stringency_index",2020-01-19,0,"stringency index"
"c1_school_closing",2020-01-19,0,"schools"
"c2_workplace_closing",2020-01-19,0,"workplace"
"c3_cancel_public_events",2020-01-19,0,"public events"
"c4_restrictions_on_gatherings",2020-01-19,0,"gatherings"
"c5_close_public_transport",2020-01-19,0,"public transport"
"c6_stay_at_home_requirements",2020-01-19,0,"stay-at-home"
"c7_movementrestrictions",2020-01-19,0,"internal movements"
"c8_internationaltravel",2020-01-19,0,"cross-border movements"
"stringency_index",2020-01-20,0,"stringency index"
"c1_school_closing",2020-01-20,0,"schools"
"c2_workplace_closing",2020-01-20,0,"workplace"
"c3_cancel_public_events",2020-01-20,0,"public events"
"c4_restrictions_on_gatherings",2020-01-20,0,"gatherings"
"c5_close_public_transport",2020-01-20,0,"public transport"
"c6_stay_at_home_requirements",2020-01-20,0,"stay-at-home"
"c7_movementrestrictions",2020-01-20,0,"internal movements"
"c8_internationaltravel",2020-01-20,0,"cross-border movements"
"stringency_index",2020-01-21,0,"stringency index"
"c1_school_closing",2020-01-21,0,"schools"
"c2_workplace_closing",2020-01-21,0,"workplace"
"c3_cancel_public_events",2020-01-21,0,"public events"
"c4_restrictions_on_gatherings",2020-01-21,0,"gatherings"
"c5_close_public_transport",2020-01-21,0,"public transport"
"c6_stay_at_home_requirements",2020-01-21,0,"stay-at-home"
"c7_movementrestrictions",2020-01-21,0,"internal movements"
"c8_internationaltravel",2020-01-21,0,"cross-border movements"
"stringency_index",2020-01-22,0,"stringency index"
"c1_school_closing",2020-01-22,0,"schools"
"c2_workplace_closing",2020-01-22,0,"workplace"
"c3_cancel_public_events",2020-01-22,0,"public events"
"c4_restrictions_on_gatherings",2020-01-22,0,"gatherings"
"c5_close_public_transport",2020-01-22,0,"public transport"
"c6_stay_at_home_requirements",2020-01-22,0,"stay-at-home"
"c7_movementrestrictions",2020-01-22,0,"internal movements"
"c8_internationaltravel",2020-01-22,0,"cross-border movements"
"stringency_index",2020-01-23,0,"stringency index"
"c1_school_closing",2020-01-23,0,"schools"
"c2_workplace_closing",2020-01-23,0,"workplace"
"c3_cancel_public_events",2020-01-23,0,"public events"
"c4_restrictions_on_gatherings",2020-01-23,0,"gatherings"
"c5_close_public_transport",2020-01-23,0,"public transport"
"c6_stay_at_home_requirements",2020-01-23,0,"stay-at-home"
"c7_movementrestrictions",2020-01-23,0,"internal movements"
"c8_internationaltravel",2020-01-23,0,"cross-border movements"
"stringency_index",2020-01-24,0,"stringency index"
"c1_school_closing",2020-01-24,0,"schools"
"c2_workplace_closing",2020-01-24,0,"workplace"
"c3_cancel_public_events",2020-01-24,0,"public events"
"c4_restrictions_on_gatherings",2020-01-24,0,"gatherings"
"c5_close_public_transport",2020-01-24,0,"public transport"
"c6_stay_at_home_requirements",2020-01-24,0,"stay-at-home"
"c7_movementrestrictions",2020-01-24,0,"internal movements"
"c8_internationaltravel",2020-01-24,0,"cross-border movements"
"stringency_index",2020-01-25,11.11,"stringency index"
"c1_school_closing",2020-01-25,0,"schools"
"c2_workplace_closing",2020-01-25,0,"workplace"
"c3_cancel_public_events",2020-01-25,0,"public events"
"c4_restrictions_on_gatherings",2020-01-25,0,"gatherings"
"c5_close_public_transport",2020-01-25,0,"public transport"
"c6_stay_at_home_requirements",2020-01-25,0,"stay-at-home"
"c7_movementrestrictions",2020-01-25,0,"internal movements"
"c8_internationaltravel",2020-01-25,0,"cross-border movements"
"stringency_index",2020-01-26,11.11,"stringency index"
"c1_school_closing",2020-01-26,0,"schools"
"c2_workplace_closing",2020-01-26,0,"workplace"
"c3_cancel_public_events",2020-01-26,0,"public events"
"c4_restrictions_on_gatherings",2020-01-26,0,"gatherings"
"c5_close_public_transport",2020-01-26,0,"public transport"
"c6_stay_at_home_requirements",2020-01-26,0,"stay-at-home"
"c7_movementrestrictions",2020-01-26,0,"internal movements"
"c8_internationaltravel",2020-01-26,0,"cross-border movements"
"stringency_index",2020-01-27,11.11,"stringency index"
"c1_school_closing",2020-01-27,0,"schools"
"c2_workplace_closing",2020-01-27,0,"workplace"
"c3_cancel_public_events",2020-01-27,0,"public events"
"c4_restrictions_on_gatherings",2020-01-27,0,"gatherings"
"c5_close_public_transport",2020-01-27,0,"public transport"
"c6_stay_at_home_requirements",2020-01-27,0,"stay-at-home"
"c7_movementrestrictions",2020-01-27,0,"internal movements"
"c8_internationaltravel",2020-01-27,0,"cross-border movements"
"stringency_index",2020-01-28,11.11,"stringency index"
"c1_school_closing",2020-01-28,0,"schools"
"c2_workplace_closing",2020-01-28,0,"workplace"
"c3_cancel_public_events",2020-01-28,0,"public events"
"c4_restrictions_on_gatherings",2020-01-28,0,"gatherings"
"c5_close_public_transport",2020-01-28,0,"public transport"
"c6_stay_at_home_requirements",2020-01-28,0,"stay-at-home"
"c7_movementrestrictions",2020-01-28,0,"internal movements"
"c8_internationaltravel",2020-01-28,0,"cross-border movements"
"stringency_index",2020-01-29,11.11,"stringency index"
"c1_school_closing",2020-01-29,0,"schools"
"c2_workplace_closing",2020-01-29,0,"workplace"
"c3_cancel_public_events",2020-01-29,0,"public events"
"c4_restrictions_on_gatherings",2020-01-29,0,"gatherings"
"c5_close_public_transport",2020-01-29,0,"public transport"
"c6_stay_at_home_requirements",2020-01-29,0,"stay-at-home"
"c7_movementrestrictions",2020-01-29,0,"internal movements"
"c8_internationaltravel",2020-01-29,0,"cross-border movements"
"stringency_index",2020-01-30,11.11,"stringency index"
"c1_school_closing",2020-01-30,0,"schools"
"c2_workplace_closing",2020-01-30,0,"workplace"
"c3_cancel_public_events",2020-01-30,0,"public events"
"c4_restrictions_on_gatherings",2020-01-30,0,"gatherings"
"c5_close_public_transport",2020-01-30,0,"public transport"
"c6_stay_at_home_requirements",2020-01-30,0,"stay-at-home"
"c7_movementrestrictions",2020-01-30,0,"internal movements"
"c8_internationaltravel",2020-01-30,0,"cross-border movements"
"stringency_index",2020-01-31,11.11,"stringency index"
"c1_school_closing",2020-01-31,0,"schools"
"c2_workplace_closing",2020-01-31,0,"workplace"
"c3_cancel_public_events",2020-01-31,0,"public events"
"c4_restrictions_on_gatherings",2020-01-31,0,"gatherings"
"c5_close_public_transport",2020-01-31,0,"public transport"
"c6_stay_at_home_requirements",2020-01-31,0,"stay-at-home"
"c7_movementrestrictions",2020-01-31,0,"internal movements"
"c8_internationaltravel",2020-01-31,0,"cross-border movements"
"stringency_index",2020-02-01,19.44,"stringency index"
"c1_school_closing",2020-02-01,0,"schools"
"c2_workplace_closing",2020-02-01,0,"workplace"
"c3_cancel_public_events",2020-02-01,0,"public events"
"c4_restrictions_on_gatherings",2020-02-01,0,"gatherings"
"c5_close_public_transport",2020-02-01,0,"public transport"
"c6_stay_at_home_requirements",2020-02-01,0,"stay-at-home"
"c7_movementrestrictions",2020-02-01,0,"internal movements"
"c8_internationaltravel",2020-02-01,3,"cross-border movements"
"stringency_index",2020-02-02,19.44,"stringency index"
"c1_school_closing",2020-02-02,0,"schools"
"c2_workplace_closing",2020-02-02,0,"workplace"
"c3_cancel_public_events",2020-02-02,0,"public events"
"c4_restrictions_on_gatherings",2020-02-02,0,"gatherings"
"c5_close_public_transport",2020-02-02,0,"public transport"
"c6_stay_at_home_requirements",2020-02-02,0,"stay-at-home"
"c7_movementrestrictions",2020-02-02,0,"internal movements"
"c8_internationaltravel",2020-02-02,3,"cross-border movements"
"stringency_index",2020-02-03,19.44,"stringency index"
"c1_school_closing",2020-02-03,0,"schools"
"c2_workplace_closing",2020-02-03,0,"workplace"
"c3_cancel_public_events",2020-02-03,0,"public events"
"c4_restrictions_on_gatherings",2020-02-03,0,"gatherings"
"c5_close_public_transport",2020-02-03,0,"public transport"
"c6_stay_at_home_requirements",2020-02-03,0,"stay-at-home"
"c7_movementrestrictions",2020-02-03,0,"internal movements"
"c8_internationaltravel",2020-02-03,3,"cross-border movements"
"stringency_index",2020-02-04,19.44,"stringency index"
"c1_school_closing",2020-02-04,0,"schools"
"c2_workplace_closing",2020-02-04,0,"workplace"
"c3_cancel_public_events",2020-02-04,0,"public events"
"c4_restrictions_on_gatherings",2020-02-04,0,"gatherings"
"c5_close_public_transport",2020-02-04,0,"public transport"
"c6_stay_at_home_requirements",2020-02-04,0,"stay-at-home"
"c7_movementrestrictions",2020-02-04,0,"internal movements"
"c8_internationaltravel",2020-02-04,3,"cross-border movements"
"stringency_index",2020-02-05,19.44,"stringency index"
"c1_school_closing",2020-02-05,0,"schools"
"c2_workplace_closing",2020-02-05,0,"workplace"
"c3_cancel_public_events",2020-02-05,0,"public events"
"c4_restrictions_on_gatherings",2020-02-05,0,"gatherings"
"c5_close_public_transport",2020-02-05,0,"public transport"
"c6_stay_at_home_requirements",2020-02-05,0,"stay-at-home"
"c7_movementrestrictions",2020-02-05,0,"internal movements"
"c8_internationaltravel",2020-02-05,3,"cross-border movements"
"stringency_index",2020-02-06,19.44,"stringency index"
"c1_school_closing",2020-02-06,0,"schools"
"c2_workplace_closing",2020-02-06,0,"workplace"
"c3_cancel_public_events",2020-02-06,0,"public events"
"c4_restrictions_on_gatherings",2020-02-06,0,"gatherings"
"c5_close_public_transport",2020-02-06,0,"public transport"
"c6_stay_at_home_requirements",2020-02-06,0,"stay-at-home"
"c7_movementrestrictions",2020-02-06,0,"internal movements"
"c8_internationaltravel",2020-02-06,3,"cross-border movements"
"stringency_index",2020-02-07,19.44,"stringency index"
"c1_school_closing",2020-02-07,0,"schools"
"c2_workplace_closing",2020-02-07,0,"workplace"
"c3_cancel_public_events",2020-02-07,0,"public events"
"c4_restrictions_on_gatherings",2020-02-07,0,"gatherings"
"c5_close_public_transport",2020-02-07,0,"public transport"
"c6_stay_at_home_requirements",2020-02-07,0,"stay-at-home"
"c7_movementrestrictions",2020-02-07,0,"internal movements"
"c8_internationaltravel",2020-02-07,3,"cross-border movements"
"stringency_index",2020-02-08,19.44,"stringency index"
"c1_school_closing",2020-02-08,0,"schools"
"c2_workplace_closing",2020-02-08,0,"workplace"
"c3_cancel_public_events",2020-02-08,0,"public events"
"c4_restrictions_on_gatherings",2020-02-08,0,"gatherings"
"c5_close_public_transport",2020-02-08,0,"public transport"
"c6_stay_at_home_requirements",2020-02-08,0,"stay-at-home"
"c7_movementrestrictions",2020-02-08,0,"internal movements"
"c8_internationaltravel",2020-02-08,3,"cross-border movements"
"stringency_index",2020-02-09,19.44,"stringency index"
"c1_school_closing",2020-02-09,0,"schools"
"c2_workplace_closing",2020-02-09,0,"workplace"
"c3_cancel_public_events",2020-02-09,0,"public events"
"c4_restrictions_on_gatherings",2020-02-09,0,"gatherings"
"c5_close_public_transport",2020-02-09,0,"public transport"
"c6_stay_at_home_requirements",2020-02-09,0,"stay-at-home"
"c7_movementrestrictions",2020-02-09,0,"internal movements"
"c8_internationaltravel",2020-02-09,3,"cross-border movements"
"stringency_index",2020-02-10,19.44,"stringency index"
"c1_school_closing",2020-02-10,0,"schools"
"c2_workplace_closing",2020-02-10,0,"workplace"
"c3_cancel_public_events",2020-02-10,0,"public events"
"c4_restrictions_on_gatherings",2020-02-10,0,"gatherings"
"c5_close_public_transport",2020-02-10,0,"public transport"
"c6_stay_at_home_requirements",2020-02-10,0,"stay-at-home"
"c7_movementrestrictions",2020-02-10,0,"internal movements"
"c8_internationaltravel",2020-02-10,3,"cross-border movements"
"stringency_index",2020-02-11,19.44,"stringency index"
"c1_school_closing",2020-02-11,0,"schools"
"c2_workplace_closing",2020-02-11,0,"workplace"
"c3_cancel_public_events",2020-02-11,0,"public events"
"c4_restrictions_on_gatherings",2020-02-11,0,"gatherings"
"c5_close_public_transport",2020-02-11,0,"public transport"
"c6_stay_at_home_requirements",2020-02-11,0,"stay-at-home"
"c7_movementrestrictions",2020-02-11,0,"internal movements"
"c8_internationaltravel",2020-02-11,3,"cross-border movements"
"stringency_index",2020-02-12,19.44,"stringency index"
"c1_school_closing",2020-02-12,0,"schools"
"c2_workplace_closing",2020-02-12,0,"workplace"
"c3_cancel_public_events",2020-02-12,0,"public events"
"c4_restrictions_on_gatherings",2020-02-12,0,"gatherings"
"c5_close_public_transport",2020-02-12,0,"public transport"
"c6_stay_at_home_requirements",2020-02-12,0,"stay-at-home"
"c7_movementrestrictions",2020-02-12,0,"internal movements"
"c8_internationaltravel",2020-02-12,3,"cross-border movements"
"stringency_index",2020-02-13,19.44,"stringency index"
"c1_school_closing",2020-02-13,0,"schools"
"c2_workplace_closing",2020-02-13,0,"workplace"
"c3_cancel_public_events",2020-02-13,0,"public events"
"c4_restrictions_on_gatherings",2020-02-13,0,"gatherings"
"c5_close_public_transport",2020-02-13,0,"public transport"
"c6_stay_at_home_requirements",2020-02-13,0,"stay-at-home"
"c7_movementrestrictions",2020-02-13,0,"internal movements"
"c8_internationaltravel",2020-02-13,3,"cross-border movements"
"stringency_index",2020-02-14,19.44,"stringency index"
"c1_school_closing",2020-02-14,0,"schools"
"c2_workplace_closing",2020-02-14,0,"workplace"
"c3_cancel_public_events",2020-02-14,0,"public events"
"c4_restrictions_on_gatherings",2020-02-14,0,"gatherings"
"c5_close_public_transport",2020-02-14,0,"public transport"
"c6_stay_at_home_requirements",2020-02-14,0,"stay-at-home"
"c7_movementrestrictions",2020-02-14,0,"internal movements"
"c8_internationaltravel",2020-02-14,3,"cross-border movements"
"stringency_index",2020-02-15,19.44,"stringency index"
"c1_school_closing",2020-02-15,0,"schools"
"c2_workplace_closing",2020-02-15,0,"workplace"
"c3_cancel_public_events",2020-02-15,0,"public events"
"c4_restrictions_on_gatherings",2020-02-15,0,"gatherings"
"c5_close_public_transport",2020-02-15,0,"public transport"
"c6_stay_at_home_requirements",2020-02-15,0,"stay-at-home"
"c7_movementrestrictions",2020-02-15,0,"internal movements"
"c8_internationaltravel",2020-02-15,3,"cross-border movements"
"stringency_index",2020-02-16,19.44,"stringency index"
"c1_school_closing",2020-02-16,0,"schools"
"c2_workplace_closing",2020-02-16,0,"workplace"
"c3_cancel_public_events",2020-02-16,0,"public events"
"c4_restrictions_on_gatherings",2020-02-16,0,"gatherings"
"c5_close_public_transport",2020-02-16,0,"public transport"
"c6_stay_at_home_requirements",2020-02-16,0,"stay-at-home"
"c7_movementrestrictions",2020-02-16,0,"internal movements"
"c8_internationaltravel",2020-02-16,3,"cross-border movements"
"stringency_index",2020-02-17,19.44,"stringency index"
"c1_school_closing",2020-02-17,0,"schools"
"c2_workplace_closing",2020-02-17,0,"workplace"
"c3_cancel_public_events",2020-02-17,0,"public events"
"c4_restrictions_on_gatherings",2020-02-17,0,"gatherings"
"c5_close_public_transport",2020-02-17,0,"public transport"
"c6_stay_at_home_requirements",2020-02-17,0,"stay-at-home"
"c7_movementrestrictions",2020-02-17,0,"internal movements"
"c8_internationaltravel",2020-02-17,3,"cross-border movements"
"stringency_index",2020-02-18,19.44,"stringency index"
"c1_school_closing",2020-02-18,0,"schools"
"c2_workplace_closing",2020-02-18,0,"workplace"
"c3_cancel_public_events",2020-02-18,0,"public events"
"c4_restrictions_on_gatherings",2020-02-18,0,"gatherings"
"c5_close_public_transport",2020-02-18,0,"public transport"
"c6_stay_at_home_requirements",2020-02-18,0,"stay-at-home"
"c7_movementrestrictions",2020-02-18,0,"internal movements"
"c8_internationaltravel",2020-02-18,3,"cross-border movements"
"stringency_index",2020-02-19,19.44,"stringency index"
"c1_school_closing",2020-02-19,0,"schools"
"c2_workplace_closing",2020-02-19,0,"workplace"
"c3_cancel_public_events",2020-02-19,0,"public events"
"c4_restrictions_on_gatherings",2020-02-19,0,"gatherings"
"c5_close_public_transport",2020-02-19,0,"public transport"
"c6_stay_at_home_requirements",2020-02-19,0,"stay-at-home"
"c7_movementrestrictions",2020-02-19,0,"internal movements"
"c8_internationaltravel",2020-02-19,3,"cross-border movements"
"stringency_index",2020-02-20,19.44,"stringency index"
"c1_school_closing",2020-02-20,0,"schools"
"c2_workplace_closing",2020-02-20,0,"workplace"
"c3_cancel_public_events",2020-02-20,0,"public events"
"c4_restrictions_on_gatherings",2020-02-20,0,"gatherings"
"c5_close_public_transport",2020-02-20,0,"public transport"
"c6_stay_at_home_requirements",2020-02-20,0,"stay-at-home"
"c7_movementrestrictions",2020-02-20,0,"internal movements"
"c8_internationaltravel",2020-02-20,3,"cross-border movements"
"stringency_index",2020-02-21,19.44,"stringency index"
"c1_school_closing",2020-02-21,0,"schools"
"c2_workplace_closing",2020-02-21,0,"workplace"
"c3_cancel_public_events",2020-02-21,0,"public events"
"c4_restrictions_on_gatherings",2020-02-21,0,"gatherings"
"c5_close_public_transport",2020-02-21,0,"public transport"
"c6_stay_at_home_requirements",2020-02-21,0,"stay-at-home"
"c7_movementrestrictions",2020-02-21,0,"internal movements"
"c8_internationaltravel",2020-02-21,3,"cross-border movements"
"stringency_index",2020-02-22,19.44,"stringency index"
"c1_school_closing",2020-02-22,0,"schools"
"c2_workplace_closing",2020-02-22,0,"workplace"
"c3_cancel_public_events",2020-02-22,0,"public events"
"c4_restrictions_on_gatherings",2020-02-22,0,"gatherings"
"c5_close_public_transport",2020-02-22,0,"public transport"
"c6_stay_at_home_requirements",2020-02-22,0,"stay-at-home"
"c7_movementrestrictions",2020-02-22,0,"internal movements"
"c8_internationaltravel",2020-02-22,3,"cross-border movements"
"stringency_index",2020-02-23,19.44,"stringency index"
"c1_school_closing",2020-02-23,0,"schools"
"c2_workplace_closing",2020-02-23,0,"workplace"
"c3_cancel_public_events",2020-02-23,0,"public events"
"c4_restrictions_on_gatherings",2020-02-23,0,"gatherings"
"c5_close_public_transport",2020-02-23,0,"public transport"
"c6_stay_at_home_requirements",2020-02-23,0,"stay-at-home"
"c7_movementrestrictions",2020-02-23,0,"internal movements"
"c8_internationaltravel",2020-02-23,3,"cross-border movements"
"stringency_index",2020-02-24,19.44,"stringency index"
"c1_school_closing",2020-02-24,0,"schools"
"c2_workplace_closing",2020-02-24,0,"workplace"
"c3_cancel_public_events",2020-02-24,0,"public events"
"c4_restrictions_on_gatherings",2020-02-24,0,"gatherings"
"c5_close_public_transport",2020-02-24,0,"public transport"
"c6_stay_at_home_requirements",2020-02-24,0,"stay-at-home"
"c7_movementrestrictions",2020-02-24,0,"internal movements"
"c8_internationaltravel",2020-02-24,3,"cross-border movements"
"stringency_index",2020-02-25,19.44,"stringency index"
"c1_school_closing",2020-02-25,0,"schools"
"c2_workplace_closing",2020-02-25,0,"workplace"
"c3_cancel_public_events",2020-02-25,0,"public events"
"c4_restrictions_on_gatherings",2020-02-25,0,"gatherings"
"c5_close_public_transport",2020-02-25,0,"public transport"
"c6_stay_at_home_requirements",2020-02-25,0,"stay-at-home"
"c7_movementrestrictions",2020-02-25,0,"internal movements"
"c8_internationaltravel",2020-02-25,3,"cross-border movements"
"stringency_index",2020-02-26,19.44,"stringency index"
"c1_school_closing",2020-02-26,0,"schools"
"c2_workplace_closing",2020-02-26,0,"workplace"
"c3_cancel_public_events",2020-02-26,0,"public events"
"c4_restrictions_on_gatherings",2020-02-26,0,"gatherings"
